UserID,ProductID,ProductName,Category,Rating,PurchaseCount,Price,tags
1,101,iPhone 14,Electronics,5,3,80000,Electronics iPhone 14
1,102,AirPods Pro,Electronics,4,2,15000,Electronics AirPods Pro
1,103,Samsung Watch,Accessories,4,1,12000,Accessories Samsung Watch
2,104,Nike Shoes,Fashion,5,4,5000,Fashion Nike Shoes
2,105,Adidas T-Shirt,Fashion,3,2,1200,Fashion Adidas T-Shirt
2,106,Puma Cap,Fashion,4,1,800,Fashion Puma Cap
3,107,Dell Laptop,Electronics,5,2,70000,Electronics Dell Laptop
3,108,Logitech Mouse,Electronics,4,3,1500,Electronics Logitech Mouse
3,109,Keyboard,Electronics,4,2,2500,Electronics Keyboard
4,110,Rolex Watch,Accessories,5,1,25000,Accessories Rolex Watch
4,111,Leather Bag,Fashion,4,2,3500,Fashion Leather Bag
4,112,Sunglasses,Accessories,3,1,2000,Accessories Sunglasses
5,113,Boat Headphones,Electronics,5,5,3000,Electronics Boat Headphones
5,114,Smart TV,Electronics,4,1,45000,Electronics Smart TV
5,115,Tablet,Electronics,4,2,25000,Electronics Tablet
